Restaurant,Address,Author_Name,Review,Anger,Fear,Joy,Sadness,Sentiment
Hachi Tei,"#01-01, 133 Amoy St, Singapore 049962",Joshua Teo,"I've never commented on a restaurant SERVICE standard before, but this is about the worst and most ridiculous customer service ever. Horrible service and hospitality. Paid for everything but, very unsatisfied by the service and horrendous hospitality, killed my entire appitete. 100% would not recommend this place for authentic 'Japanese' dining run by 100% PRC!",0.6693,0.4732,0.33,0.5775,0.3203
Swee Kee Eating House,"#01-01, 133 Amoy St, Singapore 049962",Eddie Koh,Grossly overpriced for mediocre food quality. Terrible table service. Cramped and noisy.,0.6366,0.499,0.2731,0.6076,0.1554
PS.Cafe at Ann Siang Hill,"#01-01, 133 Amoy St, Singapore 049962",Laia Hge,The restaurant its beautiful but completely overpriced. the staff refused to charge our phone. After paying 20$ for 2 coffees is it asking too much??? No wifi available neither but its the staff's angry face that makes the situation really uncomfortable. As if it were the strangest question in the world.,0.6204,0.537,0.2246,0.5383,0.3396
SUM YI TAI,"#01-01, 133 Amoy St, Singapore 049962",Chwee Chua,Horrible service. Took my order wrongly and insisted I was wrong. I had to ask the server to replace it and he was rude and disrespectful. Will no go again. Food was decent but the service is just no acceptable. Rather go next door to the hawker center for the same food and better service at cheaper price.,0.6202,0.5063,0.2685,0.5084,0.3328
Pagi Sore,"#01-01, 133 Amoy St, Singapore 049962",Brenda Song,This place is terrible. No one picks up the phone. I made a reservation which I needed to change the date for. I was told that the deposit that I made for the day of will be forfeited and it cannot be applied to the date it was postphoned to. Your service sucks!,0.6162,0.4541,0.3372,0.5047,0.316
Chengdu,"#01-01, 133 Amoy St, Singapore 049962",Berline Lim,I've been here frequently and yesterday bought somw guests to patronize. So disappointing that the standard and quality of food went downhill.,0.6156,0.4972,0.214,0.61,0.3327
Muchachos,"#01-01, 133 Amoy St, Singapore 049962",Jonathan Teo,"Waited 30 minutes for a takeaway order and they did not warn me it'll take so long. Worse still, the pork wasn't cooked fully.",0.6029,0.5449,0.1969,0.4933,0.3029
burger bar new york,"#01-01, 133 Amoy St, Singapore 049962",Juhee An,Why a customer is asked to pay for service charge when she needs to order at the counter and food is delivered in a bag. Not to mention that there was no staff in sights for cleaning tables. One customer had to take a dirty bag to the kitchen counter. The place is not a dinning setting . I just wonder if it is a legitimate charge. Burger was good!,0.5996,0.4292,0.3654,0.4415,0.407
YinJi Singapore,"#01-01, 133 Amoy St, Singapore 049962",Tippi Zhu,"Avoid this place, because the taste is only 70% similar to the original one, I have visited several times before, but today its service just become terrifying. They dont accept credit cards, CASH N NETS card ONLY, no wechat, no alipay, no grab pay. They accept orders from foodpanda. I called my husband and he was on the way to bring cash for me. I beg them for ordering first and pay later, they said no. It was 1pm, I didnt have breakfast, my husband needed another 30mins to arrive. Of course I had no reason to accuse them of anything, but theoratically, I can order from foodpanda, in that case they will lose commission to foodpanda. I was fed up by their attitude, so I just left, paid myself delicious food in a nice restaurant with my credit card.",0.5913,0.457,0.2905,0.468,0.4346
Urban Bites Restaurant,"#01-01, 133 Amoy St, Singapore 049962",Kavya Mehta,"Food is good but the service is terrible. We walked in to this place without a reservation. Were told that there wont be a table available for an hour even though all tables except 2 were empty and got a table outside instead. Ordered the platter for appetizers which was missing the kibbeh. Decided not to complain seeing as how the server was acting as if he's doing us a favor by serving us. After about an hour, we paid and left and the tables were still empty.",0.5882,0.4916,0.2736,0.4603,0.4372
Straits Chinese Restaurant,"#01-01, 133 Amoy St, Singapore 049962",Arnold Ho,"Dishonest service. TLDR; Ran out of main dish but forced us to pay for side dish that wasn't even served yet because she couldn't cancel the side dish in the system. Obviously a lie as she could cancel the main dish in the system. At 1245pm, we ordered the large main dish fish head curry for the 3 of us and traditional Chinese tea. The older chinese waitress suggested we order a smaller fish head curry size and more side dishes. We declined but at the egging of the older waitress, we added a small side dish of otah. Less than 3min after, she came back and said they ran out of fish heads, pls order other dishes. The fish head curry was the highlight, we decided to cancel, come back another time and head elsewhere for lunch. However, the waitress insisted again just to order other dishes. We declined but she said she couldn't cancel the side dish in the system. We ended up paying and taking out the otah (16 dollars x 2) and tea. It's OBVIOUSLY LYING that she couldn't cancel the otah entry in the system - because she could cancel the main entry of fish head curry.",0.5826,0.4142,0.3122,0.4493,0.4125
Magal BBQ,"#01-01, 133 Amoy St, Singapore 049962",V G,"Questionable service. Ordered seafood kimchi soup but was served pork kimchi soup instead. Told the waiter the issue, and he came back saying they do not allow changes to the order, evidently failing to understand what went wrong. After some to and fro with his colleagues, he once again came to say they do not allow changes since I have started eating the meal. I explained this does not make sense - I only realised it's the wrong order after I tried to scoop for seafood. They only offered to recook after 5 to 10 mins, by which time we had to run so I gave up. The pork also had a stale taste.",0.5781,0.4879,0.253,0.4781,0.3797
